city_ID,city_CN,city_EN
2,北京市,Beijing
3,北京市朝阳区,Chaoyang District
4,北京市通州区,"Tongzhou District, Beijing"
5,昌平区,Changping District
6,顺义区,Shunyi District
7,怀柔区,Huairou District
8,大兴区,Daxing District
9,平谷区,Pinggu District
10,密云区,Miyun District
11,延庆区,Yanqing District
12,丰台区,Fengtai District
13,石景山区,Shijingshan District
14,房山区,Fangshan District
15,门头沟区,Mentougou District
16,八达岭,Badaling
17,佛爷顶,Foyeding
18,汤河口,Tanghekou
20,斋堂,Zhaitang
21,霞云岭,Xiayunling
22,海淀区,Haidian District
24,天津市,Tianjin
25,宝坻区,Baodi District
26,武清区,Wuqing District
27,宁河区,Ninghe District
28,静海区,Jinghai District
29,蓟州区,Jizhou district
30,东丽区,Dongli District
31,西青区,Xiqing District
32,北辰区,Beichen District
33,汉沽,Hangu District
34,津南区,Jinnan District
35,塘沽,Tanggu District
36,大港,Dagang District
37,滨海新区,Binhai New District
39,上海市,Shanghai
40,嘉定区,Jiading District
41,浦东新区,Pudong New District
42,金山区,Jinshan District
43,松江区,Songjiang District
44,青浦区,"Qingpu District, Shanghai"
45,南汇,Nanhui District
46,奉贤区,Fengxian District
47,崇明区,Chongming district
48,上海市宝山区,"Baoshan District, Shanghai"
49,徐汇区,Xuhui District
50,闵行区,Minhang District
52,重庆市,Chongqing
53,黔江区,Qianjiang District
54,北碚区,Beibei District
57,巴南区,Banan District
59,长寿区,Changshou District
60,合川区,Hechuan District
61,永川区,Yongchuan District
62,江津区,Jiangjin District
63,南川区,Nanchuan District
64,綦江区,Qijiang District
65,潼南区,Tongnan District
66,铜梁区,Tongliang District
67,大足区,Dazu District
68,荣昌区,Rongchang District
69,璧山区,Bishan District
70,垫江县,Dianjiang County
71,武隆区,Wulong District
72,丰都县,Fengdu County
73,城口县,Chengkou County
74,梁平区,Liangping District
75,开州区,Kai County
76,巫溪县,Wuxi County
77,巫山县,"Wushan County, Chongqing"
78,奉节县,Fengjie County
79,云阳县,Yunyang County
80,忠县,Zhong County
81,石柱土家族自治县,Shizhu Tujia Autonomous County
82,秀山土家族苗族自治县,Xiushan Tujia and Miao Autonomous County
83,酉阳土家族苗族自治县,Youyang Tujia and Miao Autonomous County
84,彭水苗族土家族自治县,Pengshui Miao and Tujia Autonomous County
85,万盛经济技术开发区,Wansheng Economic and Technological Development Zone
86,渝北区,Yubei District
87,涪陵区,Fuling District
89,万州区,Wanzhou District
94,沈阳市,Shenyang
96,苏家屯区,Sujiatun District
97,新民市,Xinmin
98,辽中区,Liaozhong district
99,法库县,Faku County
100,康平县,Kangping County
101,沈北新区,Shenbei New District
102,弓长岭区,Gongchangling District
104,大连市,Dalian
105,旅顺口区,Lushunkou District
106,金州区,Jinzhou District
107,瓦房店市,Wafangdian
108,普兰店区,Pulandian District
109,庄河市,Zhuanghe
110,长海县,Changhai County
111,皮口镇,Pikou Town
